"Situazione FIAM:";
"289) ** Non trovato in GPB: COGDIV2 Conf.Cuscino Per Divanoalassio 2 Posti";
"290) ** Non trovato in GPB: CO127SG Materassini Per Poltrona Art.127Sg";
"291) ** Non trovato in GPB: CO127SB Materassini Per Poltrona Art.127Sb";
"292) ** Non trovato in GPB: CARTCAUT Cart. Caution 1 Colore";
"293) ** Non trovato in GPB: CO021TW Teli Per Sedia Art.021 Twh";
"294) ** Non trovato in GPB: CIELNE Cinghia Elastica Nera";
"295) ** Non trovato in GPB: CAVPOR Cavalletto Portacartelli";
"296) ** Non trovato in GPB: CO900 Teli Per Poltrona Art.900";
"297) ** Non trovato in GPB: CO128TW Teli Per Sgabello Art.128 Twh";
"298) ** Non trovato in GPB: CO841 Teli Per Sedia Art.841";
"299) ** Non trovato in GPB: CO840 Teli Per Sedia Art.840";
"300) ** Non trovato in GPB: COELAN89 Confezione Elastici Cm.89";
"301) Fiam [C201390] Tavolo California Cm 68X68X35 H ";"GPB: [201390] Tavolo California Cm 68X68X35 H"
"302) ** Non trovato in GPB: CUS50360 Cuscino Art. 50360";
"303) ** Non trovato in GPB: COAERO Materassini Aero";
"304) ** Non trovato in GPB: CAVIK Cavallotti Ikea";
"305) ** Non trovato in GPB: C23LE000C Lettino Allum. Jesolo C/Tetto";
"306) ** Non trovato in GPB: CO230K Teli Per Sedia Art.230K";
"307) Fiam [C30372] Sedia Bibi ";"GPB: [30372] Sedia Bibi"
"308) ** Non trovato in GPB: CIN127  GIBL Cinghe Per 127Il Multicolor";
"309) ** Non trovato in GPB: CO600 Teli Per Parasole Art.600";
"310) ** Non trovato in GPB: CO920 Teli Per Sdraio Art.920";
"311) ** Non trovato in GPB: CO820 Teli Per Sedia Art.820";
"312) Fiam [C201376] Sedia California ";"GPB: [201376] Set 2 Poltrone California"
"313) ** Non trovato in GPB: C086TP Lettino Mare Con Parasole In Alluminio";
"314) ** Non trovato in GPB: CO025 Teli Per Sedia Art.025";
"315) ** Non trovato in GPB: CAR210 Cartone Art.210";
"316) Fiam [C30435] Sedia Romeo ";"GPB: [30435] Sedia Romeo"
"317) Fiam [C30434] Sedia Romeo ";"GPB: [30434] Sedia Romeo"
"318) Fiam [C30431] Sedia Romeo ";"GPB: [30431] Sedia Romeo"
"319) Fiam [C30433] Sedia Romeo ";"GPB: [30433] Sedia Romeo"
"320) ** Non trovato in GPB: CAM17 Amaca In Cotone Ecru' 200X100";
"321) ** Non trovato in GPB: CO126 Teli Per Sgabello Art.126";
"322) ** Non trovato in GPB: CO127 Teli Per Poltrona Art.127";
"323) ** Non trovato in GPB: CO123 Teli Per Sdraio Art.123";
"324) ** Non trovato in GPB: CO128 Teli Per Sgabello Art.128";
"325) ** Non trovato in GPB: CO129 Teli Per Poltrona Art.129";
"326) ** Non trovato in GPB: CARR R.40 Carrucola R.40 Per Tubo25X2";
"327) ** Non trovato in GPB: CIELBI Cinghia Elastica Bianca";
"328) ** Non trovato in GPB: CO024S Materassini Per Poltrona Art.024";
"329) ** Non trovato in GPB: COG210 Teli Per Sdraio Gpb Art.G210";
"330) ** Non trovato in GPB: CRTUB129 Tubetti Art.129 Movida";
"331) ** Non trovato in GPB: CO135D Materassini Per Lettinoart.135D";
"332) Fiam [C37703] Tavolo Quadro Forza ";"GPB: [37703] Tavolo Forza Cm.80X80X72H"
"333) Fiam [C37706] Tavolo Quadro Forza Cm 80X80 ";"GPB: [37706] Tavolo Forza Cm.80X80X72H"
"334) Fiam [C37707] Tavolo Forza Cm.80X80X72H ";"GPB: [37707] Tavolo Forza Cm.80X80X72H"
"335) ** Non trovato in GPB: COG483 Teli Per Lettino Art.G483";
"336) ** Non trovato in GPB: C1238 Poltrona Liz 4 Posizioni Bianca";
"337) Fiam [C30251] Sedia Maya ";"GPB: [30251] Sedia Maya"
"338) Fiam [C30252] Sedia Maya ";"GPB: [30252] Sedia Maya"
"339) Fiam [C30255] Sedia Maya ";"GPB: [30255] Sedia Maya"
"340) Fiam [C30254] Sedia Maya ";"GPB: [30254] Sedia Maya"
"341) Fiam [C30256] Sedia Maya ";"GPB: [30256] Sedia Maya"
"342) Fiam [C49210] Tavolo Rett.Oslo Cm.180X90X75 H ";"GPB: [49210] Tavolo Rett. Oslo Cm 180X90X75 H"
"343) Fiam [C30261] Sedia Lucca ";"GPB: [30261] Sedia Lucca"
"344) ** Non trovato in GPB: COPRUOTA Copriruota D.180 Silver";
"345) ** Non trovato in GPB: COOSLODR Cuscino Linea Oslo Dritto";
"346) ** Non trovato in GPB: CAV131GR Cavallotti U Diam.20 Grezzo";
"347) ** Non trovato in GPB: CO142 Teli Per Lettino Art.142";
"348) ** Non trovato in GPB: CO145 Teli Per Poltrona Art.145";
"349) Fiam [C8302788] Sedia Verona ";"GPB: [8302788] Sedia Verona"
"350) ** Non trovato in GPB: COG47215 Cuscini Per Divano Alassio 2 Posti Art.47215";
